,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
920,30000,2,2,2,24,0,0,0,0,0,0,27391,28412,28575,28925,24159,0,1767,1700,1010,1141,0,0,0
921,180000,1,1,2,27,-2,-1,2,2,-2,-2,11392,14688,14040,13440,13440,13080,3500,0,0,0,0,0,1
922,20000,1,2,1,46,0,0,0,0,0,0,5902,6767,8145,8153,8324,8490,1122,1500,291,302,304,319,0
923,50000,2,2,2,22,0,0,0,0,0,0,50342,50482,49217,40882,20258,20303,1896,1656,1750,717,753,1000,0
924,180000,2,1,2,36,-2,-2,-2,-2,-2,-2,10737,21197,11936,40420,9210,17795,21197,11936,40420,9210,17795,6915,0
925,200000,1,1,1,34,-2,-2,-2,-2,-2,-2,1242,4006,941,2357,2945,1143,4034,945,2366,2947,1143,744,0
926,260000,2,2,2,24,0,0,0,0,0,0,68411,60386,48663,50998,53835,56728,2500,4000,4000,3835,3805,3000,0
927,320000,1,1,1,60,-1,-1,-1,-1,0,-1,9955,3465,84421,886,11741,4317,3465,84440,886,11533,4317,52466,1
928,160000,2,2,2,29,2,2,-1,-1,-1,-1,1989,-8,866,0,892,0,0,874,0,892,0,594,1
929,30000,1,2,2,32,2,0,0,2,2,2,7851,9065,11595,11112,12923,12566,1500,3000,0,2000,0,1000,1
930,50000,2,2,1,36,0,0,0,0,0,0,16906,17645,18478,10279,10646,10776,1314,1147,348,512,435,190,0
931,50000,1,2,2,30,0,0,0,0,-2,-2,21062,6495,2207,0,0,0,2000,1000,0,0,0,0,0
932,90000,2,2,2,29,0,0,0,0,0,0,47585,52084,53817,54818,55985,57398,10000,2600,2500,2200,2500,3000,0
933,240000,1,1,2,34,1,2,-1,-1,0,-1,11874,5979,6938,41858,10416,1711,0,6938,41877,0,1711,27162,0
934,180000,2,2,1,32,1,2,2,2,0,0,15548,15009,17752,17172,18732,23389,0,3000,0,2000,5000,2000,1
935,200000,2,2,1,32,-1,-1,-1,-1,-1,-1,5150,10190,10190,10190,10594,11193,10190,10190,10190,10594,11193,10190,0
936,50000,2,1,2,25,0,0,0,0,0,2,42543,34629,27095,18538,20100,19630,1900,1428,600,3000,0,1000,0
937,50000,1,2,1,44,-1,-1,-1,-1,-1,-1,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,0
938,330000,2,1,1,37,-1,-1,-1,-1,0,-1,4785,3403,0,5882,5882,1013,3523,0,5882,0,1013,0,0
939,80000,2,2,2,24,2,2,5,5,4,3,1200,1200,1200,1200,600,300,0,0,0,0,0,0,1
940,50000,2,2,2,23,-2,-2,-2,-2,-2,-2,3779,3944,2118,2259,3527,1100,3955,2124,2266,3638,1303,0,0
941,360000,2,1,2,29,0,0,-1,-1,-1,-1,15854,8174,1004,1004,646,3508,1000,1004,1004,646,3508,0,0
942,240000,2,2,1,37,0,0,0,0,0,0,219099,217058,187841,186140,191678,191816,8131,8123,6700,10000,7700,6000,0
943,50000,1,2,1,59,0,0,0,0,0,0,47069,48479,49520,18990,19539,19791,2169,2210,680,855,726,687,0
944,470000,1,2,2,33,0,0,0,0,0,0,190258,181207,120318,129281,113437,164377,40012,10020,40069,25005,100000,51305,0
945,160000,2,3,1,51,-1,2,-1,-1,-1,-1,2000,1000,2125,2125,1000,2125,0,2125,2125,1000,2125,23250,0
946,30000,1,1,1,27,-1,0,0,0,0,-2,12897,13484,6655,6618,0,0,2011,2211,2101,148,0,0,1
947,80000,2,2,1,32,0,0,0,0,0,0,81074,78262,76163,76813,77511,79069,3700,3400,2900,2900,2841,3100,0
948,500000,2,3,2,42,-2,-1,-1,0,0,0,10889,26146,104279,103945,101945,90193,29987,104279,2085,1130,45551,0,0
949,180000,1,2,2,39,-1,-1,-1,-1,-1,0,3135,2822,1938,5818,2628,2628,2833,2015,5818,2628,0,0,0
950,110000,2,2,1,46,-1,-1,-1,-1,-1,0,2410,2151,2161,1719,107591,107940,2151,2161,1719,107591,5000,3500,0
951,160000,1,1,1,41,0,-1,0,0,2,2,117126,11222,15513,18087,17499,19939,15315,15000,3000,0,3000,0,0
952,210000,2,2,2,30,0,0,0,0,0,0,21780,20974,18652,13464,109722,105573,1325,1074,1000,99000,3745,4000,0
953,200000,2,1,1,34,-1,0,0,-1,0,-1,6206,6723,7545,362,181,488,1120,1024,362,0,488,300,1
954,350000,1,1,2,35,-1,-1,-1,0,0,0,4439,33720,14283,16426,10833,2261,33891,16267,4027,234,1565,26346,0
955,250000,1,1,2,41,-1,-1,-1,0,-1,-1,1338,-24,8324,5872,23020,2367,0,8348,0,23020,2367,3117,1
956,380000,1,1,2,43,1,2,2,-2,-2,-2,8201,7882,-2,-2,-2,-2,39,0,0,0,0,0,1
957,30000,1,2,2,47,-1,-1,-1,-1,0,-1,396,396,396,792,396,772,396,396,792,0,772,0,0
958,200000,1,2,2,31,0,0,0,0,0,0,33781,35879,26043,27497,29082,31647,3000,2000,2000,2000,3000,4000,0
959,30000,1,2,2,30,-1,0,0,0,0,0,27826,28672,29622,30271,24536,22913,1600,1500,1000,1000,1000,1000,0
960,50000,1,2,2,24,0,0,-1,-1,0,0,14937,12171,3847,11117,6479,6187,3027,3858,11139,3009,3016,3008,0
961,500000,1,1,1,36,0,0,0,0,0,0,294827,292920,291760,288024,274632,266669,20007,20026,20020,10017,15024,10002,0
962,30000,1,1,2,28,1,-2,-1,-1,-1,-2,0,0,1310,816,0,0,0,1310,816,0,0,0,0
963,220000,2,1,1,36,-1,-1,0,-1,-1,-1,996,4102,4111,1057,990,1324,4102,1111,1057,990,1324,1039,0
964,20000,2,2,1,27,0,0,0,-1,0,0,42784,41009,44267,47149,48497,14774,3000,5000,10000,3011,2011,2011,0
965,180000,2,2,1,32,0,0,0,0,-1,-1,74189,30670,6428,4618,2708,54024,2000,1000,0,2708,54024,2000,0
966,300000,1,1,1,42,-1,0,0,-1,0,0,11973,61834,25145,37666,19453,10492,20979,5000,37676,8808,2000,2709,1
967,130000,2,2,1,33,0,0,0,0,0,0,133461,133393,132211,101807,101083,101597,7010,6657,3899,3952,3900,4000,0
968,180000,2,3,1,39,2,2,2,2,2,0,10159,12689,12183,13979,13621,14809,2710,0,2000,0,2000,2000,1
969,150000,2,1,3,30,-2,-2,-2,-2,-2,-2,50,6527,2168,-7,1373,-1,8589,2500,0,1380,0,2050,0
970,140000,1,2,1,30,0,0,0,0,0,0,134203,127319,107496,69218,70702,72267,5000,3500,2700,2600,2742,2700,1
971,50000,2,2,2,22,0,0,0,0,0,0,49609,61162,31485,15281,18031,18233,2100,2000,4000,3000,1500,1000,0
972,20000,1,2,2,25,1,2,2,0,0,0,6174,7543,7255,3887,5887,0,2000,28,0,2000,0,0,1
973,180000,1,1,2,28,-1,-1,-1,-1,-1,-1,666,662,-4,55566,1056,390,662,0,61411,1056,0,1998,0
974,180000,1,2,2,26,0,0,0,0,0,0,5591,6619,10574,7733,6794,5487,1126,4081,240,504,169,62,1
975,150000,2,3,1,54,-1,0,0,0,2,0,148747,145231,145341,153833,151194,145738,5500,5500,11000,0,6000,5215,0
976,70000,2,1,2,24,0,0,0,0,0,0,63903,65248,62958,64209,59482,60883,3000,2190,2201,2181,2413,1952,0
977,30000,1,2,2,29,8,7,6,5,4,3,34423,33952,33165,32391,31332,30558,0,0,0,0,0,0,0
978,500000,1,1,2,36,-2,-2,-2,-2,-2,-2,45106,81264,18122,27229,21462,27911,81690,18225,27365,21570,28050,17397,1
979,60000,1,3,1,49,0,0,0,0,0,0,44801,41545,40649,40843,40612,40656,3000,4506,2500,1800,4200,2500,0
980,50000,2,1,2,23,-2,-2,-2,-2,-2,-2,49860,50187,50022,20114,18777,18273,2500,1289,917,1315,5042,2512,0
981,130000,1,3,2,43,1,-1,-1,-2,-1,-1,1018,6377,-2,935,4985,1212,6433,2,937,4990,1215,9546,1
982,260000,2,2,1,33,-2,-2,-2,-1,-1,0,134736,135593,120909,102524,40157,40805,6067,10000,3000,40157,1466,2000,0
983,380000,1,3,1,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
984,360000,2,2,2,25,2,2,2,2,2,2,286732,290690,284059,294308,297916,279503,10792,0,15000,5800,0,126685,0
985,50000,1,3,1,54,1,2,2,0,0,0,62847,60885,56828,55419,54054,53143,2100,0,2000,2000,2455,4000,0
986,50000,2,3,1,39,0,0,2,-1,0,0,58300,59727,142,29886,30510,31276,7876,161,74354,927,1089,9100,0
987,260000,2,1,1,44,-1,2,2,-1,-1,-2,1215,856,291,803,98,431,0,291,803,98,431,1104,1
988,80000,2,2,2,27,0,0,0,0,0,0,57376,58649,59873,61077,62394,63655,2200,2200,2200,2300,2300,2600,0
989,360000,2,1,2,25,0,0,0,0,0,-2,279846,169426,68810,12800,0,0,7004,1793,2757,0,0,0,1
990,290000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
991,200000,1,1,2,39,-2,-2,-2,-2,-2,-2,-200,-200,-200,0,60800,0,0,0,200,60800,0,0,0
992,140000,1,1,1,45,0,0,0,0,2,2,39716,40799,41853,44452,45433,46383,1600,1600,3169,1700,1700,1495,0
993,360000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
994,50000,2,2,2,23,-1,-1,-1,0,-1,-1,780,0,780,390,390,500,0,780,0,390,500,18300,1
995,120000,1,2,2,25,2,2,0,0,0,0,113348,110119,111700,83858,86434,88802,0,5000,3158,3934,3802,2000,0
996,100000,1,2,1,29,0,0,0,0,-1,-1,94453,95860,67782,-2618,95748,101299,3320,5000,0,100000,7186,0,0
997,200000,2,2,1,28,0,0,0,0,0,0,81865,86790,8441,97041,103541,3632,5000,2000,89000,6500,91,1504,0
998,90000,2,2,1,40,-1,-1,-1,-1,-1,-1,4989,-818,1114,657,1332,780,0,2806,2256,2274,780,0,0
999,360000,1,1,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
1000,150000,2,3,2,30,-2,-2,-2,-2,-2,-2,456,9664,3420,2527,0,0,9664,3420,2612,0,0,0,1
